"rule_id","sector","subsector","technology_pattern","fuel_pattern","inventory_ids","match_status","allocation_note"
"map_agr_machinery","Agriculture","Agricultural machinery",".*",".*","agr_machinery","documented_proxy","CAPSS equipment and vintage factors require annual fleet and load weighting."
"map_agr_fertilizer","Agriculture","Fertilizer application",".*",".*","agr_fertilizer","documented_proxy","Fertilizer-specific factors must be weighted by nitrogen applied."
"map_agr_manure_cattle","Agriculture","Manure management","Cattle .*",".*","agr_livestock_cattle","documented_proxy","Age classes roll up to the non-dairy cattle activity."
"map_agr_manure_dairy","Agriculture","Manure management","Dairy cow",".*","agr_livestock_dairy","exact","Dairy cattle are retained separately."
"map_agr_manure_swine","Agriculture","Manure management","Piglet|Growing pig|Finishing pig|Sow",".*","agr_livestock_swine","documented_proxy","Animal stages require annual herd weighting."
"map_agr_manure_poultry","Agriculture","Manure management","Broiler chicken|Layer chicken|Duck|Goose|Turkey",".*","agr_livestock_poultry","documented_proxy","Poultry species require annual flock weighting."
"map_agr_manure_other","Agriculture","Manure management","Cat|Deer|Dog|Donkey|Fox|Goat|Horse|Mink|Mule|Rabbit|Sheep",".*","agr_livestock_other","aggregate_proxy","Species outside the core livestock activities remain an explicit aggregate proxy."
"map_agr_residue","Agriculture","Open agricultural-residue burning",".*",".*","agr_crop_residue_burning","documented_proxy","Crop-specific factors require crop and burned-mass weighting."
"map_aqs_commercial_cooking_aerosol","Buildings and services","Commercial cooking",".*",".*","aqs_commercial_cooking_aerosol","documented_proxy","Meat and cooking-device factors require annual food, restaurant/catering, and device shares; food aerosol is not fuel-energy combustion."
"map_bld_commercial_public_combustion","Buildings and services","Commercial/public stationary combustion",".*",".*","bld_commercial_space_heat|bld_commercial_water_heat|bld_public_space_heat|bld_public_water_heat","aggregate_proxy","The CAPSS source combines commercial and public boilers; use end-use activity to allocate factors."
"map_bld_residential_biomass","Buildings and services","Residential biomass combustion",".*",".*","bld_residential_space_heat|bld_residential_water_heat","aggregate_proxy","Wood stoves primarily serve space heat while boilers may serve both heat and hot water."
"map_trn_construction_equipment","Construction","Construction equipment",".*",".*","trn_nonroad_construction","documented_proxy","Equipment, tier, power, age, load and activity weights are required."
"map_ind_cement_process","Industry","Cement and minerals","Cement decarbonization/process dust",".*","ind_cement_clinker","documented_proxy","The candidate factor covers clinker process emissions and dust, not kiln fuel combustion."
"map_ind_other_minerals","Industry","Cement and minerals","Glass decarbonization/process|Lime decarbonization/process",".*","ind_other_mfg_process","aggregate_proxy","Glass and lime are retained under other manufacturing until native GCAM activities are supplied."
"map_ind_inorganic_chemicals","Industry","Inorganic chemicals and fertilizers",".*",".*","ind_chem_inorganic","documented_proxy","Product-specific factors require annual chemical-output weights."
"map_ind_steel_bof","Industry","Iron and steel","Basic oxygen furnace \(BOF\)",".*","ind_steel_bf_bof","documented_proxy","BOF is one component of the integrated BF-BOF route."
"map_ind_steel_eaf","Industry","Iron and steel","Electric arc furnace \(EAF\)|Electric arc furnace outlet measurement",".*","ind_steel_eaf","documented_proxy","CAPSS defaults and Korean outlet measurements remain separate evidence records."
"map_ind_steel_sinter","Industry","Iron and steel","Sinter plant excluding combustion",".*","ind_steel_sinter","exact","The source denominator and process boundary match the sinter activity."
"map_ind_steel_mixed","Industry","Iron and steel","Steel melting furnaces, mixed sample",".*","ind_steel_bf_bof|ind_steel_eaf","aggregate_proxy","The historical study mixes furnace routes and cannot be assigned without sample detail."
"map_ind_manufacturing_combustion","Industry","Manufacturing combustion",".*",".*","ind_steel_combustion|ind_cement_kiln_combustion|ind_chem_combustion|ind_other_mfg_combustion|ind_pulp_recovery_boiler|ind_pulp_lime_kiln","aggregate_proxy","Generic manufacturing-combustion factors are candidates for several inventory activities and require equipment/fuel matching."
"map_ind_organic_chemicals","Industry","Organic chemicals and plastics","1,2-dichloroethane \+ vinyl chloride|Ethylene production|Propylene production|Styrene",".*","ind_chem_organic","documented_proxy","Chemical-specific factors require product-output weighting."
"map_ind_plastics_resin","Industry","Organic chemicals and plastics","High-density polyethylene \(HDPE\)|Low-density polyethylene \(LDPE\)|Polypropylene|Polystyrene|Polyvinyl chloride \(PVC\)|Styrene-butadiene latex|Styrene-butadiene rubber",".*","ind_plastics_resin","documented_proxy","Polymer-specific factors require resin-output weighting."
"map_ind_other_manufacturing","Industry","Other manufacturing",".*",".*","ind_other_mfg_process","aggregate_proxy","The inventory retains a broad other-manufacturing process activity."
"map_ind_pulp_lime_kiln","Industry","Pulp and paper","Lime kiln/process",".*","ind_pulp_lime_kiln","documented_proxy","The CAPSS process factor must not be combined with kiln combustion without a boundary check."
"map_ind_pulp_recovery","Industry","Pulp and paper","Recovery boiler/process",".*","ind_pulp_recovery_boiler","documented_proxy","The CAPSS process factor must retain its black-liquor and control basis."
