"v1_source_table_or_location","capss_vii_table_ids","review_status","notes"
"2022 paper comparison table","","not_applicable","Korean measurement update; compare to CAPSS Table 13-6 by crop before use."
"CAPSS VI Table 10-3","10-3","pending_value_diff","Official VII table found; row-level values still require comparison."
"CAPSS VI Table 10-6","10-6|10-7","pending_value_diff","Official VII factor and pig-age basis tables found."
"CAPSS VI Table 13-11","13-11","pending_value_diff","Official VII table found; row-level values still require comparison."
"CAPSS VI Table 13-13","13-13","pending_value_diff","Official VII table found; row-level values still require comparison."
"CAPSS VI Table 13-6","13-6","pending_value_diff","Official VII table found; row-level values still require comparison."
"CAPSS VI Table 2-3","2-3","pending_value_diff","Official VII table found on two PDF pages; controlled-basis notes must be compared."
"CAPSS VI Table 3-3","3-3","pending_value_diff","Official VII table found on two PDF pages; controlled-basis notes must be compared."
"CAPSS VI Table 4-15","4-14|4-15|4-16|4-17|4-18","pending_value_diff","The main inorganic-chemical factor table was renumbered in VII and has supporting basis tables."
"CAPSS VI Table 4-22","4-21","pending_value_diff","The organic-chemical factor table was renumbered in VII."
"CAPSS VI Table 4-24","4-23","pending_value_diff","The wood/pulp factor table was renumbered in VII."
"CAPSS VI Table 4-32","4-31|4-32","pending_value_diff","The other-manufacturing factor table was renumbered in VII; glass has a separate basis table."
"CAPSS VI Table 7-14","7-14|1-10|1-11","pending_value_diff","VII retains the chapter table and supplies detailed motorcycle appendix tables."
"CAPSS VI Table 8-28","8-28|8-29|8-30|8-31","pending_value_diff","VII separates SOx, NH3, pre-2013 equipment, and post-2013 vintage factors."
"CAPSS VI Table 8-3","8-3","pending_value_diff","Official VII table found; row-level values still require comparison."
"CAPSS VI Table 8-36 (partial extraction: bulldozer schedule)","8-38|8-39","pending_value_diff","VII renumbers and expands construction-equipment factors, including Tier 4."
"CAPSS VI Tables 8-12, 8-14, or 8-17","8-6|8-12|8-14|8-17","pending_value_diff","VII separates passenger, cargo, fishing, and leisure vessel tables."
"CAPSS VI Table 9-3","9-3|9-4","pending_value_diff","VII includes the municipal-incineration table and a control-status basis table."
"CAPSS VI Table 9-6","9-6","pending_value_diff","Official VII table found; row-level values still require comparison."
"CAPSS VI Table 9-7","9-7","pending_value_diff","Official VII table found; row-level values still require comparison."
"CAPSS VI Table 9-8","9-8","pending_value_diff","Official VII table found; row-level values still require comparison."
"CAPSS VI architectural coating table","6-7|6-8","pending_value_diff","VII separates general and low-VOC architectural coating factors."
"CAPSS VI coating tables","6-4|6-10|6-11|6-12","pending_value_diff","Use the source-use-specific VII table rather than a shared generic label."
"CAPSS VI steel process table","4-9|4-10|4-11","pending_value_diff","VII has separate BOF, EAF, and sinter factor tables."
"study abstract/table summary","","not_applicable","Korean measured EAF evidence; retain separately from CAPSS defaults."
"study reported range","","not_applicable","Historical Korean melting-furnace evidence; route/control matching is unresolved."
