"crosswalk_id","inventory_id","gcam_cluster","gcam_sector","gcam_subsector","gcam_technology","gcam_fuel","capss_major_category","capss_intermediate_category","capss_minor_category","capss_detail_category","capss_fuel_or_process","match_status","allocation_rule","double_counting_risk","boundary_note","source_id","notes"
"cw_ind_steel_bf_bof_blast_charge","ind_steel_bf_bof","industry","steel","integrated_steel","blast_furnace_basic_oxygen_furnace","coal_and_process","생산공정","제철제강업","고로 장입","","고로 장입","documented_proxy","allocate_by_process_throughput","medium","One integrated GCAM activity maps to several CAPSS process components.","capss_handbook_vii","Retain blast charging separately."
"cw_ind_steel_bf_bof_tapping","ind_steel_bf_bof","industry","steel","integrated_steel","blast_furnace_basic_oxygen_furnace","coal_and_process","생산공정","제철제강업","출선공정","","출선량","documented_proxy","allocate_by_process_throughput","medium","One integrated GCAM activity maps to several CAPSS process components.","capss_handbook_vii","Retain tapping separately."
"cw_ind_steel_bf_bof_bof","ind_steel_bf_bof","industry","steel","integrated_steel","blast_furnace_basic_oxygen_furnace","coal_and_process","생산공정","제철제강업","산소전로","","전로강 생산량","documented_proxy","allocate_by_route_output","medium","One integrated GCAM activity maps to several CAPSS process components.","capss_handbook_vii","Do not count EAF steel."
"cw_ind_steel_eaf_eaf","ind_steel_eaf","industry","steel","secondary_steel","electric_arc_furnace","electricity_and_scrap","생산공정","제철제강업","전기로","","전기로 조강량","exact","one_to_one","low","EAF crude-steel activity and process boundary align.","capss_handbook_vii","Electricity is excluded from the direct EF."
"cw_ind_steel_sinter_sinter_process","ind_steel_sinter","industry","steel","integrated_steel","sinter_plant","solid_fuels","생산공정","제철제강업","소결로(연소공정 제외)","","소결광 생산량","exact","one_to_one","low","This row is explicitly process-only.","capss_handbook_vii","Combustion belongs in steel combustion."
"cw_ind_steel_coke_ovens_coke_process","ind_steel_coke_ovens","industry","steel","integrated_steel","coke_oven","coking_coal","생산공정","제철제강업","코우크스 오븐(누출 및 소화)","","코크스 생산량","exact","one_to_one","low","Leak and quench process boundary aligns.","capss_handbook_vii","Fuel combustion is separate."
"cw_ind_steel_rolling_reheat","ind_steel_rolling","industry","steel","finishing","rolling_and_finishing","fuel_specific","제조업 연소","공정로","강철 재가열로","","fuel specific","documented_proxy","allocate_by_fuel_and_finished_output","medium","CAPSS reheating combustion is only one component of rolling/finishing.","capss_handbook_vii","Coating solvents may require another source row."
"cw_ind_steel_combustion_boiler","ind_steel_combustion","industry","steel","all_routes","industrial_combustion","fuel_specific","제조업 연소","연소시설","1,2,3종(보일러)","","fuel specific","aggregate_proxy","allocate_by_steel_fuel_use","high","Generic manufacturing boilers span industries unless facility/industry detail is retained.","capss_handbook_vii","Use steel-sector fuel activity only."
"cw_ind_steel_combustion_sinter_furnace","ind_steel_combustion","industry","steel","all_routes","industrial_combustion","fuel_specific","제조업 연소","공정로","소결로(제철산업)","","fuel specific","documented_proxy","allocate_by_sinter_fuel_use","medium","Potential overlap with process-only sinter row.","capss_handbook_vii","Combustion component only."
"cw_ind_cement_clinker_calcination","ind_cement_clinker","industry","cement","clinker","clinker_kiln_process","process_material","생산공정","기타 제조업","시멘트(탄소제거공정)","","clinker production","exact","one_to_one","low","Clinker calcination/process boundary aligns.","capss_handbook_vii","Fuel combustion is excluded."
