"inventory_id","inventory_version","conceptual_activity","gcam_label_status","priority","include_in_mvp","gcam_cluster","gcam_sector","gcam_subsector","gcam_technology","gcam_fuel","activity_variable","activity_unit","direct_emissions_scope","process_emissions_possible","combustion_emissions_possible","electricity_only","air_quality_supplemental","scenario_driver","required_pollutants","preferred_ef_basis","annual_activity_source_ids","status","rationale","notes"
"ind_steel_bf_bof","0.2.0","Steel BF/BOF process","conceptual_pending_model_file","P1","true","industry","steel","integrated_steel","blast_furnace_basic_oxygen_furnace","coal_and_process","crude_steel_production","tonne crude steel","process","true","false","false","false","steel production by route","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO|BC","tonne crude steel","gcam_kaist_external|kosa_steel|kosis_industry","partially_available","Core Korean integrated-steel process source.","Keep process emissions separate from coke, sinter, and fuel combustion."
"ind_steel_eaf","0.2.0","Steel EAF process","conceptual_pending_model_file","P1","true","industry","steel","secondary_steel","electric_arc_furnace","electricity_and_scrap","eaf_crude_steel_production","tonne EAF steel","process","true","false","false","false","EAF steel production","NOx|SOx|PM2.5|PM10|TSP|VOCs","tonne EAF steel","gcam_kaist_external|kosa_steel|kosis_industry","available","CAPSS defines EAF activity as crude steel output.","Electricity input has no direct EF; furnace process dust remains direct."
"ind_steel_sinter","0.2.0","Sinter production","conceptual_pending_model_file","P1","true","industry","steel","integrated_steel","sinter_plant","solid_fuels","sinter_production","tonne sinter","process","true","false","false","false","integrated steel and sinter output","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO|BC","tonne sinter","gcam_kaist_external|kosa_steel|kosis_industry","partially_available","Sinter has a distinct CAPSS process source and denominator.","Exclude sinter-fuel combustion when represented in steel combustion."
"ind_steel_coke_ovens","0.2.0","Coke ovens","conceptual_pending_model_file","P1","true","industry","steel","integrated_steel","coke_oven","coking_coal","coke_production","tonne coke","process","true","false","false","false","coke production","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO|BC","tonne coke","gcam_kaist_external|kosa_steel|kosis_industry","partially_available","Coke-oven leaks and quenching are separate process sources.","Do not combine with coking-fuel combustion."
"ind_steel_rolling","0.2.0","Steel rolling and finishing","conceptual_pending_model_file","P2","false","industry","steel","finishing","rolling_and_finishing","fuel_specific","finished_steel_output","tonne finished steel","combustion_and_process","true","true","false","false","finished steel production","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO","tonne finished steel","gcam_kaist_external|kosa_steel|kosis_industry","proxy_required","CAPSS has reheating-furnace and solvent sources but not one combined exact activity.","Separate reheating combustion and coating solvents when native activity arrives."
"ind_steel_combustion","0.2.0","Steel industrial fuel combustion","conceptual_pending_model_file","P1","true","industry","steel","all_routes","industrial_combustion","fuel_specific","steel_fuel_consumption","TJ fuel","combustion","false","true","false","false","steel fuel demand by fuel","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","TJ fuel consumed","gcam_kaist_external|kesis_survey|kesis_balance","partially_available","Fuel combustion is required independently of steel process factors.","Resolve fuel-specific native GCAM rows before EF application."
"ind_cement_clinker","0.2.0","Cement clinker production","conceptual_pending_model_file","P1","true","industry","cement","clinker","clinker_kiln_process","process_material","clinker_production","tonne clinker","process","true","false","false","false","clinker production","NOx|SOx|PM2.5|PM10|TSP|CO","tonne clinker","gcam_kaist_external|cement_statistics|kosis_industry","partially_available","Clinker is the preferred physical denominator for kiln process emissions.","Exclude kiln fuel combustion from this process row."
"ind_cement_grinding","0.2.0","Cement grinding","conceptual_pending_model_file","P2","false","industry","cement","grinding","cement_grinding","electricity","cement_production","tonne cement","process","true","false","false","false","cement production","PM2.5|PM10|TSP","tonne cement","gcam_kaist_external|cement_statistics|kosis_industry","proxy_required","Grinding particulate is distinct from clinker production.","Electricity use itself receives no direct EF."
"ind_cement_kiln_combustion","0.2.0","Cement kiln fuel combustion","conceptual_pending_model_file","P1","true","industry","cement","clinker","kiln_combustion","fuel_specific","kiln_fuel_consumption","TJ fuel","combustion","false","true","false","false","cement kiln fuel by fuel","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO|BC","TJ fuel consumed","gcam_kaist_external|kesis_survey|cement_statistics","partially_available","Kiln combustion varies by fuel and controls.","Keep separate from calcination/process emissions."
"ind_cement_fugitive","0.2.0","Cement fugitive particulate","conceptual_pending_model_file","P2","false","industry","cement","clinker_and_grinding","material_handling","process_material","cement_material_throughput","tonne material handled","fugitive","true","false","false","false","cement and clinker throughput","PM2.5|PM10|TSP","tonne material handled","cement_statistics|kosis_industry","proxy_required","Quarrying and handling dust need a throughput allocation.","Avoid overlap with stack particulate."
"ind_chem_organic","0.2.0","Organic chemical production","conceptual_pending_model_file","P1","true","industry","chemicals","organic","organic_chemical_process","feedstock_specific","organic_chemical_output","tonne chemical product","process","true","false","false","false","organic chemical output by product","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO","tonne chemical product","gcam_kaist_external|kosis_industry","partially_available","CAPSS identifies product-specific organic chemical process sources.","Product mix must be retained for annual effective factors."
"ind_chem_inorganic","0.2.0","Inorganic chemical production","conceptual_pending_model_file","P1","true","industry","chemicals","inorganic","inorganic_chemical_process","feedstock_specific","inorganic_chemical_output","tonne chemical product","process","true","false","false","false","inorganic chemical output by product","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO","tonne chemical product","gcam_kaist_external|kosis_industry","partially_available","CAPSS identifies multiple inorganic process products.","Do not average incompatible product factors without production weights."
"ind_chem_combustion","0.2.0","Chemical steam and process combustion","conceptual_pending_model_file","P1","true","industry","chemicals","steam_and_heat","industrial_combustion","fuel_specific","chemical_fuel_consumption","TJ fuel","combustion","false","true","false","false","chemical-sector fuel demand","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO|BC","TJ fuel consumed","gcam_kaist_external|kesis_survey|kesis_balance","partially_available","Combustion is distinct from chemical process vents.","Fuel and control shares are required."
"ind_chem_storage_loading","0.2.0","Chemical storage and loading","conceptual_pending_model_file","P2","false","industry","chemicals","storage_and_loading","tank_and_loading_losses","volatile_products","chemical_throughput","tonne product handled","fugitive","true","false","false","false","chemical throughput and storage capacity","VOCs","tonne product handled","kosis_industry|capss_annual","proxy_required","VOCs depend on product volatility and tank/loading controls.","Future activity may require cubic metres rather than mass."
"ind_chem_flaring","0.2.0","Chemical flaring","conceptual_pending_model_file","P2","false","industry","chemicals","flaring","flare","flare_gas","flare_gas_energy","TJ flare gas","combustion","true","true","false","false","chemical output or flare gas","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO|BC","TJ flare gas","capss_annual|kesis_survey","not_yet_researched","Flare activity is not available in the current model input.","Keep distinct from refinery flaring."
"ind_plastics_resin","0.2.0","Plastic resin production","conceptual_pending_model_file","P2","false","industry","plastics","resin","resin_production","feedstock_specific","resin_production","tonne resin","process","true","false","false","false","resin production by polymer","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO","tonne resin","gcam_kaist_external|kosis_industry","partially_available","CAPSS organic-chemical categories identify major resins.","Treat as petrochemical process activity when model taxonomy allows."
