evidence_id,source_title,source_url,publication_date,accessed_date,evidence
huang_peng_2025_scenario_concentration,"Substantial air quality and health co-benefits from combined federal and subnational climate actions in the United States",https://doi.org/10.1016/j.oneear.2025.101232,2025-03-21,2026-07-27,"Health-impact assessment Table 3 defines DeltaPM as the county-level PM2.5 concentration averaged from gridded InMAP concentrations. The methods do not direct the analyst to subtract the 10.77 ug/m3 minimum observed in the ACS cohort. The faithful primary registry row therefore uses a zero counterfactual while retaining 10.77 only as the documented observed-support lower bound."
burnett_2018_gemm_ncd_lri_table_s2,"Global estimates of mortality associated with long-term exposure to outdoor fine particulate matter",https://doi.org/10.1073/pnas.1803222115,2018-09-18,2026-07-27,"SI Appendix Table S2 gives age-specific GEMM NCD+LRI theta and standard-error values for ages 25-29 through over 80, plus alpha=1.6, mu=15.5, and nu=36.8 for the main model including the Chinese male cohort. The paper defines GEMM(z)=exp{theta*log(z/alpha+1)/(1+exp(-(z-mu)/nu))}; population-attributable fraction is 1-1/RR. The tracked gemm_ncd_lri_parameters.csv transcribes these values."
burnett_2018_gemm_counterfactual,"Global estimates of mortality associated with long-term exposure to outdoor fine particulate matter",https://doi.org/10.1073/pnas.1803222115,2018-09-18,2026-07-27,"Main Methods and SI Table S2 footnote define z=max(0, PM2.5-2.4 ug/m3). GEMM NCD+LRI covers noncommunicable diseases plus lower respiratory infections and is applied age-specifically from age 25."
byun_2024_nonaccidental_hr,"Long-term exposure to PM2.5 and mortality in a national cohort in South Korea: effect modification by community deprivation, medical infrastructure, and greenness",https://doi.org/10.1186/s12889-024-18752-y,2024-05-09,2026-07-27,"Nationwide NHIS-NSC cohort. The five-year moving-average PM2.5 estimate for non-accidental mortality is HR=1.10 (95% CI 1.01-1.20) per 10 ug/m3. beta and bounds in the registry are ln(HR)/10."
byun_2024_age_restriction,"Long-term exposure to PM2.5 and mortality in a national cohort in South Korea: effect modification by community deprivation, medical infrastructure, and greenness",https://doi.org/10.1186/s12889-024-18752-y,2024-05-09,2026-07-27,"Methods include 394701 participants aged 30 years or older in 2006 and follow them through 2019. This supports valid_age_min=30."
byun_2024_no_numeric_threshold,"Long-term exposure to PM2.5 and mortality in a national cohort in South Korea: effect modification by community deprivation, medical infrastructure, and greenness",https://doi.org/10.1186/s12889-024-18752-y,2024-05-09,2026-07-27,"The exposure-response analysis is described as near-linear over the observed Korean exposure range and does not publish a transferable numeric no-effect threshold. Zero is used only for the unthresholded scenario-total sensitivity convention and is explicitly an extrapolation below observed support."
kim_2020_all_cause_hr,"Long-term fine particulate matter exposure and cardiovascular mortality in the general population: a nationwide cohort study",https://doi.org/10.1016/j.jjcc.2019.11.004,2020-05-01,2026-07-27,"Korean NHIS cohort of 436933 health-examination participants. All-cause mortality increased 3.4% (95% CI 2.7%-4.1%) per 10 ug/m3 PM2.5, encoded as HR=1.034 (1.027-1.041)."
kim_2020_age_restriction,"Long-term fine particulate matter exposure and cardiovascular mortality in the general population: a nationwide cohort study",https://doi.org/10.1016/j.jjcc.2019.11.004,2020-05-01,2026-07-27,"The general-population cohort covers adults age 18 and older. KOSIS five-year bands cannot isolate ages 18-19, so the adapter conservatively starts with the complete 20-24 band and records that implementation detail."
kim_2020_no_adopted_threshold,"Long-term fine particulate matter exposure and cardiovascular mortality in the general population: a nationwide cohort study",https://doi.org/10.1016/j.jjcc.2019.11.004,2020-05-01,2026-07-27,"The paper reports a clearer/significant association at concentrations above about 18 ug/m3, but this subgroup result is not a validated biological no-effect threshold. The specification remains an unthresholded lower sensitivity."
korea_guide_2025_beta,Analysis of Health Impacts from Future Air Quality Changes Considering the Aging Population in Korea,https://doi.org/10.3390/atmos16010041,2025-01-03,2026-07-27,"Table 2 reports the Korean GUIDE long-term PM2.5 adult 'Other' mortality coefficient beta=0.006015 based on WHO HRAPIE and Hoek et al. 2013. The accompanying Korean policy work reports lower and upper coefficients 0.00399032 and 0.00803968. This is a Korean policy-HIA benchmark rather than a Korea-derived cohort coefficient."
korea_guide_2025_adult,Analysis of Health Impacts from Future Air Quality Changes Considering the Aging Population in Korea,https://doi.org/10.3390/atmos16010041,2025-01-03,2026-07-27,"Table 2 labels the population group only as Adult. The suite uses age 30+ as an explicit analysis convention to align with the Peng primary; it is not presented as a study-derived enrollment cutoff."
korea_guide_unthresholded,Analysis of Health Impacts from Future Air Quality Changes Considering the Aging Population in Korea,https://doi.org/10.3390/atmos16010041,2025-01-03,2026-07-27,"The Korean BenMAP-style scenario calculation applies the coefficient to modeled concentration changes and does not supply a separate numeric no-effect threshold for this coefficient."
lim_2020_elderly_all_cause_hr,"Long-term exposure to moderate fine particulate matter concentrations and cause-specific mortality in an ageing society",https://doi.org/10.1093/ije/dyaa146,2020-12-01,2026-07-27,"The fully adjusted all-cause HR for a 10 ug/m3 increase in 36-month moving-average PM2.5 is 1.024 (95% CI 1.009-1.039). beta and bounds in the registry are ln(HR)/10."
lim_2020_elderly_age_restriction,"Long-term exposure to moderate fine particulate matter concentrations and cause-specific mortality in an ageing society",https://doi.org/10.1093/ije/dyaa146,2020-12-01,2026-07-27,"The cohort contains Korean adults age 65 and older in seven major cities; valid_age_min=65."
lim_2020_linear_hia,"Long-term exposure to moderate fine particulate matter concentrations and cause-specific mortality in an ageing society",https://doi.org/10.1093/ije/dyaa146,2020-12-01,2026-07-27,"The authors estimate future Korean burden under an assumption of linear PM2.5-associated health effects. The registry uses the same unthresholded log-linear sensitivity while limiting the denominator to age 65+."
