gap_id,collection_version,gap_area,priority,status,next_source,inventory_ids
GAP001,1.0.0,Road transport LDV/HDV/bus,High,Full speed × fuel × model-year formula appendix remains to be machine-transcribed; motorcycles are included.,CAPSS VII/VI appendix + Korean fleet registry/VKT,trn_road_passenger_gasoline_ldv|trn_road_passenger_diesel_ldv|trn_road_passenger_lpg_ldv|trn_road_passenger_hybrid_ldv|trn_road_bus|trn_road_freight_lcv|trn_road_freight_mdv|trn_road_freight_hdv
GAP002,1.0.0,Aviation,High,Aircraft-engine-mode LTO table is large and was not transcribed in this pass.,CAPSS Table 8-21 / ICAO engine databank,trn_aviation_passenger_lto|trn_aviation_passenger_cruise|trn_aviation_freight_lto|trn_aviation_freight_cruise
GAP003,1.0.0,Construction equipment,Medium,"Official VII Tables 8-38 and 8-39 are scraped in full and standard pollutant columns are normalized; equipment, tier, power, load, and vintage labels still require annual fleet weighting.",CAPSS VII Tables 8-38 and 8-39 + Korean equipment registry,trn_nonroad_construction
GAP004,1.0.0,Cement kiln combustion,High,"Process and manufacturing-combustion tables are scraped as official VII candidates, but kiln-specific fuel, equipment, and facility-control allocation remains.",CAPSS combustion + TMS/SEMS + cement production,ind_cement_kiln_combustion
GAP005,1.0.0,Oil refining process/fugitive,High,"Official VII refinery combustion, process, sulfur-recovery, storage, terminal, and distribution factors are scraped; refinery flaring and stage-specific annual allocation remain unresolved.",CAPSS VII + petroleum statistics + facility activity,ene_refining_process|ene_flaring|ene_fuel_storage_loading
GAP006,1.0.0,Aluminium/non-ferrous metals,Medium,No Korea-specific factor was found in this pass.,CAPSS process chapter + Korean literature,ind_nonferrous_primary|ind_nonferrous_secondary
GAP007,1.0.0,Landfill VOC,Medium,CAPSS uses a methane-generation/speciation model rather than a simple EF; model parameters should be stored separately.,CAPSS landfill equations,wst_landfills
GAP008,1.0.0,Hydrogen production,Medium,"Must be technology-specific; electrolysis has zero direct combustion emissions, SMR/ATR require fuel/process factors.",GCAM-KAIST technology mapping + facility literature,ene_hydrogen_smr|ene_hydrogen_coal|ene_hydrogen_byproduct|ene_hydrogen_electrolysis|ene_hydrogen_biomass
GAP009,1.0.0,CAPSS VII version update,Critical,"The official VII PDF is checksum-verified and all 123 relevant bordered factor/speciation tables are preserved as raw cells; standard pollutant-column values are normalized as non-production candidates, while row-level review and the VI-to-VII diff remain.",Official CAPSS Handbook VII,
GAP010,1.0.0,Post-Handbook-VII official factor updates,Critical,"In June 2026 CAPSS announced approved updated factors for laundry, controlled charcoal kilns, food processing, and petrochemical byproduct gas/oil facilities, but no row-level values were attached; current VII rows may be superseded when the December 2026 2024-inventory release appears.",CAPSS 2024 emissions release or next methods handbook,aqs_solvent_use|aqs_charcoal_kiln|ind_other_mfg_process|ind_chem_combustion
GAP011,1.0.0,Road tire and brake wear,High,"CAPSS finalized a Korean non-exhaust method in 2025 for use in the December 2026 2024-inventory release; the public announcement describes vehicle-class, size, driving-pattern, and vehicle-km factors but does not publish the values.",CAPSS 2024 emissions release or row-level method attachment,aqs_road_tire_brake_wear
