macro_fuel,macro_technology,kepco_fuel,kepco_technology,capss_fuel_major_ko,capss_technology_official_ko,mapping_status,mapping_note
conventional bituminous coal,steam,coal,conventional_steam_turbine,유연탄,"1,2,3종(보일러)",documented_proxy,"CAPSS boiler is combustion equipment; KEPCO handoff pools coal steam EFs and does not distinguish bituminous from anthracite."
bituminous coal,steam,coal,conventional_steam_turbine,유연탄,"1,2,3종(보일러)",documented_proxy,"CAPSS boiler is combustion equipment; KEPCO handoff pools coal steam EFs and does not distinguish bituminous from anthracite."
anthracite,steam,coal,conventional_steam_turbine,무연탄,"1,2,3종(보일러)",documented_proxy,"CAPSS anthracite is separated, but KEPCO 2021 handoff exposes a pooled coal steam EF."
LNG,combined cycle,natural_gas,combined_cycle_gas_turbine,LNG,가스터빈,documented_proxy,"MACRO combined-cycle LNG is aligned to KEPCO natural-gas combined-cycle gas turbine and CAPSS LNG gas-turbine combustion equipment."
natural gas,combined cycle,natural_gas,combined_cycle_gas_turbine,LNG,가스터빈,documented_proxy,"MACRO natural gas combined-cycle row is treated as LNG gas-turbine power generation."
LNG,gas turbine,natural_gas,combined_cycle_gas_turbine,LNG,가스터빈,documented_proxy,"KEPCO handoff exposes combined-cycle gas turbine, not simple-cycle gas turbine."
LNG,steam,natural_gas,conventional_steam_turbine,LNG,"1,2,3종(보일러)",unresolved,"No 2021 KEPCO natural-gas conventional-steam EF is available in the current handoff."
LNG,boiler,natural_gas,conventional_steam_turbine,LNG,"1,2,3종(보일러)",unresolved,"No 2021 KEPCO natural-gas conventional-steam EF is available in the current handoff."
Bunker C oil,internal combustion,oil,internal_combustion_engine,B-C유,내연기관,unresolved,"CAPSS category exists, but current KEPCO handoff has oil conventional-steam EF and no oil internal-combustion EF."
oil,steam,oil,conventional_steam_turbine,B-C유,"1,2,3종(보일러)",documented_proxy,"Uses KEPCO oil conventional-steam EF; CAPSS fuel-major oil category selected as B-C oil boiler when MACRO specifies steam oil generation."
IGCC,IGCC,coal,integrated_gasification_combined_cycle,유연탄,가스터빈,unresolved,"CAPSS combustion-equipment category is not an IGCC ontology; keep out of primary comparison until documented."
CHP,CHP,natural_gas,cogeneration_chp,LNG,가스터빈,unresolved,"CHP boundary is not necessarily public/private power generation and KEPCO handoff has only NOx for this row."
fuel cell,fuel cell,,,LNG,가스터빈,excluded,"Fuel cells are not combustion-equipment rows in the requested CAPSS power comparison."
mixed fuels,unspecified thermal,,,,,unresolved,"Mixed or unspecified thermal activity must be resolved before validation."
Coal,ThermalPower,coal,conventional_steam_turbine,유연탄,"1,2,3종(보일러)",documented_proxy,"MACRO aggregate coal thermal power has no bituminous/anthracite split; primary comparison maps to CAPSS bituminous-coal boiler and KEPCO pooled coal steam EF."
NaturalGas,ThermalPower,natural_gas,combined_cycle_gas_turbine,LNG,가스터빈,documented_proxy,"MACRO natural-gas thermal power is aligned to KEPCO natural-gas combined-cycle gas turbine and CAPSS LNG gas-turbine equipment."
Coal,ThermalSteam,coal,conventional_steam_turbine,유연탄,"1,2,3종(보일러)",unresolved,"ThermalSteam may represent heat/steam service rather than electric power; keep out of primary comparison until MACRO team confirms boundary."
NaturalGas,ThermalSteam,natural_gas,conventional_steam_turbine,LNG,"1,2,3종(보일러)",unresolved,"No 2021 KEPCO natural-gas conventional-steam EF is available and MACRO ThermalSteam boundary is unclear."
Uranium,ThermalPower,,,,,excluded,"Nuclear generation has no air-pollutant combustion EF in this validation."
Battery,Battery,,,,,excluded,"Battery discharge is not combustion generation for CAPSS/KEPCO EF comparison."
VRE,VRE,,,,,excluded,"Variable renewable generation is not combustion generation for CAPSS/KEPCO EF comparison."
Coal,ThermalPowerCCS,coal,conventional_steam_turbine,유연탄,"1,2,3종(보일러)",unresolved,"Future CCS category is outside the 2021 uncalibrated historical validation and has no CAPSS CCS equipment category."
NaturalGas,ThermalPowerCCS,natural_gas,combined_cycle_gas_turbine,LNG,가스터빈,unresolved,"Future CCS category is outside the 2021 uncalibrated historical validation and has no CAPSS CCS equipment category."
