mapping_id,inventory_id,record_type,sector_type,sector_pattern,subsector_type,subsector_pattern,technology_type,technology_pattern,node_type,node_pattern,native_unit,native_to_canonical_multiplier,canonical_activity_unit,canonical_fuel,match_status,include_in_emissions_model,note
native_steel_blastfurnace,ind_steel_bf_bof,output,supplysector,iron and steel,subsector,BLASTFUR,technology,BLASTFUR,output-primary,iron and steel,Mt,1000000,tonne crude steel,coal_and_process,documented_native_proxy,true,GCAM BLASTFUR route output is the closest native BF/BOF activity but does not separately expose every CAPSS steel subprocess.
native_steel_eaf_dri,ind_steel_eaf,output,supplysector,iron and steel,subsector,EAF with DRI,technology,EAF with DRI,output-primary,iron and steel,Mt,1000000,tonne EAF steel,electricity_and_dri,documented_native_proxy,true,Sum with the scrap route for total native EAF output.
native_steel_eaf_scrap,ind_steel_eaf,output,supplysector,iron and steel,subsector,EAF with scrap,technology,EAF with scrap,output-primary,iron and steel,Mt,1000000,tonne EAF steel,electricity_and_scrap,documented_native_proxy,true,Sum with the DRI route for total native EAF output.
native_steel_fuel_coal,ind_steel_combustion,input,supplysector,iron and steel,,,,,input-energy,delivered coal,EJ,1000000,TJ fuel,coal,native_energy_input,true,Electricity and scrap inputs are excluded from direct combustion.
native_steel_fuel_oil,ind_steel_combustion,input,supplysector,iron and steel,,,,,input-energy,refined liquids industrial,EJ,1000000,TJ fuel,oil,native_energy_input,true,Electricity and scrap inputs are excluded from direct combustion.
native_steel_fuel_gas,ind_steel_combustion,input,supplysector,iron and steel,,,,,input-energy,wholesale gas,EJ,1000000,TJ fuel,natural_gas,native_energy_input,true,Retained for years or routes in which gas is present.
native_cement_output,ind_cement_clinker,output,supplysector,cement,subsector,cement,technology,cement,output-primary,cement,Mt,1000000,tonne clinker,process_material,documented_native_proxy,true,GCAM reports cement rather than clinker; a clinker-to-cement ratio is still required for production use.
native_cement_heat_biomass,ind_cement_kiln_combustion,output,supplysector,process heat cement,subsector,biomass,,,output-primary,process heat cement,EJ,1000000,TJ fuel,biomass,native_energy_output,true,Direct process-heat activity by fuel.
native_cement_heat_coal,ind_cement_kiln_combustion,output,supplysector,process heat cement,subsector,coal,,,output-primary,process heat cement,EJ,1000000,TJ fuel,coal,native_energy_output,true,Direct process-heat activity by fuel.
native_cement_heat_gas,ind_cement_kiln_combustion,output,supplysector,process heat cement,subsector,gas,,,output-primary,process heat cement,EJ,1000000,TJ fuel,natural_gas,native_energy_output,true,Direct process-heat activity by fuel.
native_cement_heat_oil,ind_cement_kiln_combustion,output,supplysector,process heat cement,subsector,refined liquids,,,output-primary,process heat cement,EJ,1000000,TJ fuel,oil,native_energy_output,true,Direct process-heat activity by fuel.
native_chemical_heat_biomass,ind_chem_combustion,output,supplysector,chemical energy use,subsector,biomass,,,output-primary,chemical energy use,EJ,1000000,TJ fuel,biomass,native_energy_output,true,Direct chemical-sector energy activity.
native_chemical_heat_coal,ind_chem_combustion,output,supplysector,chemical energy use,subsector,coal,,,output-primary,chemical energy use,EJ,1000000,TJ fuel,coal,native_energy_output,true,Direct chemical-sector energy activity.
native_chemical_heat_gas,ind_chem_combustion,output,supplysector,chemical energy use,subsector,gas,,,output-primary,chemical energy use,EJ,1000000,TJ fuel,natural_gas,native_energy_output,true,Direct chemical-sector energy activity.
native_chemical_heat_oil,ind_chem_combustion,output,supplysector,chemical energy use,subsector,refined liquids,,,output-primary,chemical energy use,EJ,1000000,TJ fuel,oil,native_energy_output,true,Direct chemical-sector energy activity.
native_other_mfg_biomass,ind_other_mfg_combustion,output,supplysector,other industrial energy use,subsector,biomass,,,output-primary,other industrial energy use,EJ,1000000,TJ fuel,biomass,native_energy_output,true,Direct other-industry energy activity.
native_other_mfg_coal,ind_other_mfg_combustion,output,supplysector,other industrial energy use,subsector,coal,,,output-primary,other industrial energy use,EJ,1000000,TJ fuel,coal,native_energy_output,true,Direct other-industry energy activity.
native_other_mfg_gas,ind_other_mfg_combustion,output,supplysector,other industrial energy use,subsector,gas,,,output-primary,other industrial energy use,EJ,1000000,TJ fuel,natural_gas,native_energy_output,true,Direct other-industry energy activity.
native_other_mfg_oil,ind_other_mfg_combustion,output,supplysector,other industrial energy use,subsector,refined liquids,,,output-primary,other industrial energy use,EJ,1000000,TJ fuel,oil,native_energy_output,true,Direct other-industry energy activity.
native_resid_heat_biomass,bld_residential_space_heat,input,supplysector,resid heating .*,subsector,(?:biomass|traditional biomass),,,input-energy,(?:delivered biomass|traditional biomass),EJ,1000000,TJ fuel,biomass,native_energy_input,true,Aggregates all GCAM residential income classes.
native_resid_heat_coal,bld_residential_space_heat,input,supplysector,resid (?:heating|others) coal_d[0-9]+,subsector,coal,,,input-energy,delivered coal,EJ,1000000,TJ fuel,coal,native_energy_input,true,Coal appears in GCAM residential other-service branches rather than the modern-heating branch.
native_resid_heat_gas,bld_residential_space_heat,input,supplysector,resid heating modern_d[0-9]+,subsector,gas,,,input-energy,delivered gas,EJ,1000000,TJ fuel,natural_gas,native_energy_input,true,Aggregates all GCAM residential income classes.
native_resid_heat_oil,bld_residential_space_heat,input,supplysector,resid heating modern_d[0-9]+,subsector,refined liquids,,,input-energy,refined liquids enduse,EJ,1000000,TJ fuel,oil,native_energy_input,true,Aggregates all GCAM residential income classes.
native_comm_heat_biomass,bld_commercial_space_heat,input,supplysector,comm heating,subsector,biomass,,,input-energy,delivered biomass,EJ,1000000,TJ fuel,biomass,native_energy_input,true,Commercial direct-heating fuel input.
native_comm_heat_gas,bld_commercial_space_heat,input,supplysector,comm heating,subsector,gas,,,input-energy,delivered gas,EJ,1000000,TJ fuel,natural_gas,native_energy_input,true,Commercial direct-heating fuel input.
native_comm_heat_oil,bld_commercial_space_heat,input,supplysector,comm heating,subsector,refined liquids,,,input-energy,refined liquids enduse,EJ,1000000,TJ fuel,oil,native_energy_input,true,Commercial direct-heating fuel input.
native_fertilizer_n,agr_fertilizer,input,AgSupplySector,.*,AgSupplySubsector,.*,AgProductionTechnology,.*,input-energy,N fertilizer,Mt N,1000000000,kg nitrogen applied,fertilizer_specific,native_physical_input,true,Sums crop-level nitrogen inputs; land technologies without fertilizer have no match.
native_refinery_gas,ene_refining_combustion,input,supplysector,refining,subsector,oil refining,technology,oil refining,input-energy,wholesale gas,EJ,1000000,TJ fuel,natural_gas,native_energy_input,true,Electricity is excluded from direct refining combustion.
native_hydrogen_smr,ene_hydrogen_smr,output,supplysector,H2 central production,subsector,gas,technology,natural gas steam reforming,output-primary,H2 central production,EJ,8333333333.333333,kg hydrogen,natural_gas,documented_conversion_assumption,true,Uses a provisional 120 MJ per kg hydrogen lower-heating-value conversion and remains non-analytical.
gap_road_hybrid,trn_road_passenger_hybrid_ldv,output,supplysector,trn_pass_road_LDV_4W,tranSubsector,(?:Car|Large Car and Truck),tranTechnology,Hybrid Liquids,output-primary,trn_pass_road_LDV_4W,billion pass-km,,vehicle-km,gasoline_and_electricity,missing_occupancy_conversion,false,Passenger-km cannot be converted to vehicle-km without occupancy assumptions.
gap_road_bus,trn_road_bus,output,supplysector,trn_pass_road,tranSubsector,Bus,tranTechnology,.*,output-primary,trn_pass_road,billion pass-km,,vehicle-km,diesel_CNG_and_electric,missing_occupancy_conversion,false,Passenger-km cannot be converted to vehicle-km without occupancy assumptions.
gap_road_freight_mdv,trn_road_freight_mdv,output,supplysector,trn_freight_road,tranSubsector,Medium truck,tranTechnology,.*,output-primary,trn_freight_road,billion ton-km,,vehicle-km,diesel,missing_load_conversion,false,Tonne-km cannot be converted to vehicle-km without payload assumptions.
gap_passenger_rail,trn_rail_diesel_passenger,output,supplysector,trn_pass,tranSubsector,Passenger Rail,tranTechnology,Liquids,output-primary,trn_pass,billion pass-km,,tonne diesel,diesel,missing_fuel_conversion,false,Requires rail energy intensity and diesel density.
gap_freight_rail,trn_rail_diesel_freight,output,supplysector,trn_freight,tranSubsector,Freight Rail,tranTechnology,Liquids,output-primary,trn_freight,billion ton-km,,tonne diesel,diesel,missing_fuel_conversion,false,Requires rail energy intensity and diesel density.
gap_domestic_aviation,trn_aviation_passenger_lto,output,supplysector,trn_pass,tranSubsector,Domestic Aviation,tranTechnology,Liquids,output-primary,trn_pass,billion pass-km,,LTO cycle,jet_fuel,missing_lto_conversion,false,Passenger-km cannot identify landing-takeoff cycles.
gap_domestic_shipping,trn_shipping_freight,output,supplysector,trn_freight,tranSubsector,Domestic Ship,tranTechnology,.*,output-primary,trn_freight,billion ton-km,,tonne marine fuel,marine_fuel_specific,missing_fuel_conversion,false,Requires ship energy intensity and marine-fuel density.
gap_ag_machinery,agr_machinery,input,supplysector,agricultural energy use,subsector,mobile,technology,refined liquids,input-energy,refined liquids industrial,EJ,,litre fuel,diesel_and_gasoline,missing_fuel_density_conversion,false,Requires fuel composition and density.
gap_refinery_throughput,ene_refining_process,input,supplysector,refining,subsector,oil refining,technology,oil refining,input-energy,regional oil,EJ,,tonne crude oil,crude_oil,missing_crude_energy_conversion,false,Requires the scenario-specific crude-oil energy-to-mass conversion.
gap_waste_incineration,wst_municipal_incineration,output,supplysector,urban processes,subsector,waste_incineration,technology,waste_incineration,output-primary,urban processes,NA,,tonne waste treated,municipal_waste,missing_physical_activity,false,GCAM exposes native emissions but labels the activity quantity NA and does not split municipal from industrial waste.
gap_landfill,wst_landfills,output,supplysector,urban processes,subsector,landfills,technology,landfills,output-primary,urban processes,NA,,tonne waste landfilled,waste,missing_physical_activity,false,GCAM exposes native emissions but not a physical landfilled-mass denominator.
gap_wastewater,wst_wastewater,output,supplysector,urban processes,subsector,wastewater,technology,wastewater,output-primary,urban processes,NA,,cubic metre wastewater,wastewater,missing_physical_activity,false,GCAM exposes native emissions but not a physical wastewater-volume denominator.
gap_solvents,aqs_solvent_use,output,supplysector,industrial processes,subsector,solvents,technology,solvents,output-primary,industrial processes,NA,,tonne solvent consumed,product_specific,missing_physical_activity,false,GCAM exposes NMVOC emissions but not a solvent-consumption denominator.
